n_features,n_classes,ovr_spearman,fisher_hard_spearman,fisher_soft_spearman,contrastive_spearman,seed
8,3,1.0,0.9761904761904763,1.0,1.0,14
8,3,1.0,1.0,1.0,1.0,14
8,3,1.0,1.0,1.0,1.0,14
8,3,1.0,1.0,1.0,1.0,14
8,3,1.0,0.9761904761904763,1.0,1.0,14
8,3,1.0,1.0,1.0,1.0,14
8,3,1.0,1.0,1.0,1.0,15
8,3,1.0,1.0,1.0,1.0,15
8,3,1.0,1.0,1.0,1.0,15
8,3,0.9523809523809524,0.9523809523809524,0.9523809523809524,1.0,15
8,3,1.0,1.0,0.9761904761904763,1.0,15
8,3,1.0,1.0,1.0,1.0,15
8,3,1.0,0.9761904761904763,1.0,1.0,15
8,3,1.0,0.9761904761904763,1.0,1.0,15
8,3,0.9523809523809524,0.9761904761904763,0.9761904761904763,1.0,16
8,3,0.9285714285714287,0.9761904761904763,1.0,1.0,16
8,3,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,16
8,3,1.0,0.9761904761904763,1.0,1.0,16
8,3,0.9761904761904763,0.9523809523809524,1.0,1.0,16
8,3,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,16
8,3,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,16
8,3,0.9523809523809524,0.9285714285714287,0.9761904761904763,1.0,16
8,3,0.7857142857142858,0.6666666666666669,0.9761904761904763,1.0,17
8,3,0.9761904761904763,0.9523809523809524,1.0,1.0,17
8,3,0.9285714285714287,0.880952380952381,0.9285714285714287,1.0,17
8,3,0.9761904761904763,0.9047619047619048,1.0,1.0,17
8,3,0.9761904761904763,0.9047619047619048,1.0,1.0,17
8,3,0.9285714285714287,0.9285714285714287,0.9761904761904763,1.0,17
8,3,0.9047619047619048,0.9761904761904763,1.0,1.0,17
8,3,0.9047619047619048,0.9285714285714287,0.9761904761904763,1.0,17
8,3,1.0,1.0,1.0,1.0,18
8,3,1.0,1.0,1.0,1.0,18
8,3,0.9761904761904763,0.9761904761904763,1.0,1.0,18
8,3,0.9761904761904763,1.0,0.9761904761904763,1.0,18
8,3,0.9761904761904763,1.0,1.0,1.0,18
8,3,1.0,1.0,1.0,1.0,18
8,3,1.0,0.9761904761904763,1.0,1.0,18
8,3,1.0,1.0,1.0,1.0,18
8,3,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,19
8,3,0.9761904761904763,0.9523809523809524,0.9523809523809524,0.9761904761904763,19
8,3,0.9761904761904763,1.0,0.9523809523809524,1.0,19
8,3,0.9761904761904763,0.9523809523809524,0.9523809523809524,1.0,19
8,3,0.9523809523809524,0.9047619047619048,0.9761904761904763,0.9761904761904763,19
8,3,1.0,0.9047619047619048,0.9285714285714287,1.0,19
8,3,0.9761904761904763,0.9523809523809524,0.9761904761904763,1.0,19
8,3,0.9761904761904763,1.0,1.0,1.0,19
8,4,1.0,0.9523809523809524,0.9761904761904763,1.0,0
8,4,1.0,0.9285714285714287,0.9761904761904763,1.0,0
8,4,1.0,1.0,1.0,1.0,0
8,4,0.9523809523809524,0.9285714285714287,0.9761904761904763,1.0,0
8,4,1.0,0.9047619047619048,1.0,1.0,0
8,4,1.0,1.0,1.0,1.0,0
8,4,1.0,1.0,1.0,1.0,0
8,4,1.0,0.9523809523809524,0.9761904761904763,1.0,0
8,4,0.9761904761904763,1.0,0.9523809523809524,1.0,1
8,4,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,1
8,4,1.0,1.0,1.0,1.0,1
8,4,1.0,1.0,1.0,1.0,1
8,4,0.9523809523809524,0.9047619047619048,0.9523809523809524,1.0,1
8,4,1.0,0.9523809523809524,1.0,1.0,1
8,4,0.9761904761904763,0.9523809523809524,0.9761904761904763,1.0,1
8,4,0.9285714285714287,0.880952380952381,0.9285714285714287,1.0,1
8,4,0.7619047619047621,0.880952380952381,0.9761904761904763,1.0,2
8,4,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,2
8,4,1.0,1.0,1.0,0.9761904761904763,2
8,4,0.9523809523809524,1.0,1.0,1.0,2
8,4,0.9523809523809524,0.9761904761904763,0.9761904761904763,1.0,2
8,4,0.8095238095238096,0.9523809523809524,0.9761904761904763,1.0,2
8,4,1.0,1.0,1.0,0.9761904761904763,2
8,4,1.0,1.0,1.0,1.0,2
8,4,1.0,0.9761904761904763,1.0,1.0,3
8,4,1.0,1.0,1.0,1.0,3
8,4,0.9523809523809524,0.8333333333333335,0.9523809523809524,0.9761904761904763,3
8,4,0.9761904761904763,0.9761904761904763,0.9761904761904763,0.9761904761904763,3
8,4,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,3
8,4,1.0,1.0,1.0,1.0,3
8,4,0.9761904761904763,0.9285714285714287,0.9761904761904763,1.0,3
8,4,0.9761904761904763,1.0,1.0,1.0,3
8,4,0.9047619047619048,0.9047619047619048,0.9761904761904763,1.0,4
8,4,0.9523809523809524,0.9761904761904763,1.0,1.0,4
8,4,1.0,0.9761904761904763,1.0,1.0,4
8,4,0.9047619047619048,0.8571428571428572,0.9047619047619048,1.0,4
8,4,0.9523809523809524,0.9523809523809524,0.9523809523809524,1.0,4
8,4,0.9047619047619048,0.8571428571428572,0.9523809523809524,1.0,4
8,4,0.9523809523809524,0.9761904761904763,1.0,1.0,4
8,4,1.0,1.0,1.0,1.0,4
8,4,1.0,1.0,1.0,1.0,5
8,4,0.9761904761904763,1.0,1.0,1.0,5
8,4,1.0,1.0,1.0,1.0,5
8,4,0.9761904761904763,0.9761904761904763,1.0,1.0,5
8,4,0.9523809523809524,0.9761904761904763,1.0,1.0,5
8,4,1.0,0.9761904761904763,1.0,1.0,5
8,4,0.9761904761904763,1.0,0.9761904761904763,1.0,5
8,4,0.9523809523809524,0.9761904761904763,0.9761904761904763,1.0,5
8,4,0.9523809523809524,1.0,0.9761904761904763,1.0,6
8,4,1.0,0.9761904761904763,1.0,1.0,6
8,4,0.9523809523809524,0.9523809523809524,0.9761904761904763,1.0,6
8,4,1.0,0.9523809523809524,1.0,1.0,6
8,4,0.9761904761904763,0.9761904761904763,1.0,1.0,6
8,4,1.0,0.9761904761904763,1.0,1.0,6
8,4,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,6
8,4,0.9761904761904763,0.9285714285714287,0.9761904761904763,1.0,6
8,4,0.9047619047619048,0.9761904761904763,1.0,1.0,7
8,4,1.0,0.9523809523809524,0.9523809523809524,1.0,7
8,4,0.9761904761904763,1.0,0.9761904761904763,1.0,7
8,4,1.0,0.9523809523809524,1.0,1.0,7
8,4,0.9761904761904763,0.9047619047619048,0.9523809523809524,1.0,7
8,4,1.0,1.0,1.0,1.0,7
8,4,0.9047619047619048,0.9761904761904763,0.9761904761904763,1.0,7
8,4,0.7857142857142858,0.7857142857142858,0.7857142857142858,1.0,7
8,4,0.9523809523809524,0.9761904761904763,0.9761904761904763,1.0,8
8,4,1.0,0.9761904761904763,0.9761904761904763,1.0,8
8,4,0.9761904761904763,0.9761904761904763,1.0,1.0,8
8,4,0.9761904761904763,0.9047619047619048,1.0,1.0,8
8,4,1.0,1.0,1.0,1.0,8
8,4,1.0,0.9761904761904763,1.0,1.0,8
8,4,1.0,0.9761904761904763,1.0,1.0,8
8,4,0.9761904761904763,1.0,1.0,1.0,8
8,4,1.0,1.0,1.0,1.0,9
8,4,1.0,0.9761904761904763,0.9761904761904763,1.0,9
8,4,1.0,0.9761904761904763,1.0,1.0,9
8,4,1.0,1.0,1.0,1.0,9
8,4,0.9761904761904763,1.0,1.0,1.0,9
8,4,0.9761904761904763,0.9285714285714287,0.9761904761904763,1.0,9
8,4,0.9523809523809524,1.0,1.0,1.0,9
8,4,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,9
8,4,1.0,0.9761904761904763,1.0,1.0,10
8,4,1.0,0.9761904761904763,1.0,1.0,10
8,4,1.0,1.0,1.0,1.0,10
8,4,1.0,1.0,1.0,1.0,10
8,4,1.0,1.0,1.0,1.0,10
8,4,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,10
8,4,0.9761904761904763,0.9523809523809524,0.9761904761904763,1.0,10
8,4,1.0,0.9761904761904763,1.0,1.0,10
8,4,1.0,1.0,1.0,1.0,11
8,4,1.0,1.0,1.0,1.0,11
8,4,0.9761904761904763,0.9523809523809524,0.9761904761904763,1.0,11
8,4,0.9761904761904763,0.9761904761904763,1.0,1.0,11
8,4,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,11
8,4,1.0,1.0,1.0,1.0,11
8,4,0.9523809523809524,0.9761904761904763,0.9761904761904763,1.0,11
8,4,0.9761904761904763,1.0,1.0,1.0,11
8,4,0.9523809523809524,1.0,1.0,1.0,12
8,4,1.0,1.0,1.0,1.0,12
8,4,1.0,0.9761904761904763,1.0,1.0,12
8,4,0.9523809523809524,0.9047619047619048,0.9761904761904763,1.0,12
8,4,0.9047619047619048,0.9523809523809524,0.9761904761904763,1.0,12
8,4,1.0,1.0,1.0,1.0,12
8,4,1.0,0.9761904761904763,1.0,1.0,12
8,4,0.9523809523809524,0.9523809523809524,0.9761904761904763,1.0,12
8,4,1.0,1.0,1.0,1.0,13
