n_features,n_classes,K,pair_lasso_recall,pair_lasso_spearman,fisher_select_recall,fisher_select_spearman,ridge_select_recall,ridge_select_spearman,joint_lasso_recall,joint_lasso_spearman,joint_refit_recall,joint_refit_spearman,seed
8,3,2,1.0,0.7637626158259734,1.0,0.7637626158259734,1.0,0.7637626158259734,1.0,0.7637626158259734,1.0,0.7637626158259734,5
8,3,5,1.0,0.95150257112482,1.0,0.9759000729485332,1.0,0.9759000729485332,1.0,0.95150257112482,1.0,0.9759000729485332,5
8,3,2,0.5,0.6546536707079772,0.5,0.6546536707079772,0.5,0.6546536707079772,0.0,0.43643578047198484,0.0,0.43643578047198484,6
8,3,5,0.8,0.9027075674773933,1.0,0.95150257112482,1.0,0.95150257112482,0.8,0.8539125638299666,0.8,0.8783100656536799,6
8,3,2,0.5,0.6546536707079772,0.5,0.6546536707079772,0.5,0.6546536707079772,0.0,0.43643578047198484,0.0,0.43643578047198484,6
8,3,5,0.8,0.9027075674773933,1.0,0.9759000729485332,1.0,0.9759000729485332,0.8,0.8539125638299666,0.8,0.8539125638299666,6
8,3,2,0.5,0.6546536707079772,0.5,0.6546536707079772,0.5,0.6546536707079772,0.0,0.43643578047198484,0.0,0.43643578047198484,6
8,3,5,0.8,0.9027075674773933,0.8,0.9271050693011065,0.8,0.9271050693011065,0.8,0.8539125638299666,0.8,0.8783100656536799,6
8,3,2,1.0,0.7637626158259734,1.0,0.7637626158259734,0.5,0.7637626158259734,1.0,0.7637626158259734,1.0,0.7637626158259734,6
8,3,5,0.8,0.9271050693011065,0.8,0.8783100656536799,0.8,0.8783100656536799,0.8,0.8295150620062534,0.8,0.8783100656536799,6
8,3,2,0.5,0.6546536707079772,0.5,0.6546536707079772,0.5,0.6546536707079772,0.0,0.43643578047198484,0.0,0.43643578047198484,6
8,3,5,0.8,0.9027075674773933,1.0,0.95150257112482,1.0,0.95150257112482,0.8,0.8539125638299666,0.8,0.8783100656536799,6
8,3,2,0.0,0.43643578047198484,0.5,0.6546536707079772,0.5,0.6546536707079772,0.0,0.43643578047198484,0.0,0.43643578047198484,6
8,3,5,0.8,0.9027075674773933,0.8,0.9271050693011065,0.8,0.9271050693011065,0.8,0.8539125638299666,0.8,0.8783100656536799,6
